set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14  15 16 17 18 19 ;
set pipes := 1 2 3 4 5 6 ;

param : arcs : L  vmax :=
1    2    140     2    
2    3    270     2
3    4    480     2
3    5    420     2
5    4    220     2
2    7    210     2
7    5    450     2
6    5    390     2
7    6    250     2
1    10   480     2
2    8    520     2 
7    8    430     2 
10   11   600     2
10   9    300     2
8    9    160     2 
9    11   300     2
8    19   1,070   2  
9    19   700     2
19   18   870     2
11   12   180     2
12   18   700     2
17   18   570     2
12   13   130     2
12   15   260     2
13   14   260     2
15   14   130     2
15   17   260     2
14   16   300     2
17   16   130     2;

param d : C :=
1   200  15.7652
2   250  20.2867
3   300  24.7882
4   350  35.8312
5   400  44.5225
6   450  51.5675;

param E :=
1   0
2   0
3   0
4   40 
5   0 
6   0 
7   0  
8   0   
9   0   
10  0   
11  0
12  0
13  0
14  0
15  0
16  45
17  0
18  0
19  40   ;

param P :=
1   0
2   0
3   0
4   0
5   0
6   0
7   0 ;

param D :=
1   13.0 
2   10.7
3   17.2
4   45.0
5   19.5
6   14.8
7   6.5
8   19.0
9   8.6
10  12.6
11  21.8
12  15.0
13  8.3
14  11.7
15  13.9
16  3.9
17  12.2
18  11.0
19  17.3;


param R :=
1   130
2   130
3   130
4   130
5   130
6   130
7   130
8   130
9   130
10   130
11   130
12   130
13   130
14   130 ;


set Source:= 1 ;


