set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73;

set pipes := 0 1 2 3 4 5 6 7 8 9 10 11;

param : arcs : L :=
2    51    10.91
3    18    43.56
4    64    129.1
5    68    70.29
6    27    35.81
7    50    66.65
8    53    42.45
9    49    49.58
10    28    38.01
11    6    35.55
12    32    93.68
13    10    14.05
14    52    31.32
15    11    34.66
16    20    58.67
17    7    73.3
18    41    38.87
19    14    23.72
20    21    26.87
21    9    15.87
22    49    25.45
23    62    146.0
24    34    15.75
25    39    112.7
26    44    11.9
27    19    28.31
31    28    43.36
29    17    73.16
30    36    39.49
1    31    42.49
32    16    105.5
33    4    59.9
34    26    8.927
35    15    66.01
36    48    21.77
37    57    87.8
38    30    13.23
39    54    20.83
40    11    34.95
41    66    18.94
42    40    29.0
43    72    245.3
44    45    21.47
45    47    19.76
46    61    81.33
47    10    20.08
48    13    15.46
49    28    32.31
50    45    57.89
51    14    19.19
52    44    11.22
53    6    14.94
54    3    44.83
55    54    67.89
56    12    51.55
57    33    106.4
58    43    109.4
59    5    78.61
60    71    39.42
61    23    160.0
62    37    9.624
63    62    37.61
64    38    37.47
65    73    668.4
66    2    40.83
67    58    337.4
68    35    107.7
69    25    46.88
70    69    11.31
71    59    18.03
72    33    129.0
73    29    132.0
33    64    176.0
44    19    41.25
53    19    42.63
25    55    140.6
32    20    164.1
12    16    106.6
60    55    243.8
6    40    41.94
66    52    86.01
30    13    61.81
28    50    59.14
39    69    143.5
71    5    94.82
69    60    323.9
50    52    79.08
14    66    60.52
16    56    123.4
40    35    110.1
35    11    100.3
8    36    57.41
68    42    184.9
38    31    50.6
32    21    165.5
23    56    357.8
3    39    61.2
48    34    36.45
47    13    21.29
62    57    96.67
10    45    39.36;

param E :=
1   45.0
2   13.0
3   10.0
4   18.0
5   14.0
6   11.0
7   16.0
8   23.0
9   18.0
10   6.0
11   13.0
12   9.0
13   8.0
14   18.0
15   15.0
16   14.0
17   11.0
18   17.0
19   19.0
20   16.0
21   23.0
22   15.0
23   10.0
24   13.0
25   14.0
26   19.0
27   19.0
28   21.0
29   19.0
30   17.0
31   12.0
32   14.0
33   9.0
34   18.0
35   18.0
36   13.0
37   13.0
38   12.0
39   8.0
40   11.0
41   21.0
42   11.0
43   15.0
44   15.0
45   13.0
46   11.0
47   17.0
48   20.0
49   14.0
50   22.0
51   14.0
52   9.0
53   13.0
54   14.0
55   16.0
56   17.0
57   15.0
58   6.0
59   13.0
60   19.0
61   17.0
62   15.0
63   18.0
64   19.0
65   20.0
66   12.0
67   18.0
68   16.0
69   19.0
70   17.0
71   14.0
72   14.0
73   14.0;

param P :=
1   0.0
2   0.0
3   0.0
4   0.0
5   0.0
6   0.0
7   0.0
8   0.0
9   0.0
10   0.0
11   0.0
12   0.0
13   0.0
14   0.0
15   0.0
16   0.0
17   0.0
18   0.0
19   0.0
20   0.0
21   0.0
22   0.0
23   0.0
24   0.0
25   0.0
26   0.0
27   0.0
28   0.0
29   0.0
30   0.0
31   0.0
32   0.0
33   0.0
34   0.0
35   0.0
36   0.0
37   0.0
38   0.0
39   0.0
40   0.0
41   0.0
42   0.0
43   0.0
44   0.0
45   0.0
46   0.0
47   0.0
48   0.0
49   0.0
50   0.0
51   0.0
52   0.0
53   0.0
54   0.0
55   0.0
56   0.0
57   0.0
58   0.0
59   0.0
60   0.0
61   0.0
62   0.0
63   0.0
64   0.0
65   0.0
66   0.0
67   0.0
68   0.0
69   0.0
70   0.0
71   0.0
72   0.0
73   0.0;

param D :=
1   -495.25881000000004
2   0.0111
3   0.0322
4   0.0406
5   0.0524
6   0.0276
7   0.0301
8   0.0215
9   0.0141
10   0.024
11   0.0442
12   0.0541
13   0.0242
14   0.029
15   0.0216
16   0.0847
17   0.0315
18   0.0177
19   0.0292
20   0.0537
21   0.0448
22   0.00547
23   0.143
24   0.00339
25   0.0645
26   0.00448
27   0.0138
28   0.0372
29   0.0441
30   0.0246
31   0.0293
32   0.114
33   0.101
34   0.0131
35   0.0826
36   0.0255
37   0.0209
38   0.0218
39   0.0727
40   0.0464
41   0.0124
42   0.046
43   0.0763
44   0.0185
45   0.0298
46   0.0175
47   0.0131
48   0.0158
49   0.0231
50   0.0565
51   0.00647
52   0.0446
53   0.0215
54   0.0287
55   0.0972
56   0.115
57   0.0
58   0.17
59   0.17
60   0.17
61   0.17
62   0.58
63   0.0752
64   0.685
65   1.34
66   0.248
67   0.405
68   0.436
69   0.631
70   122.0
71   122.0
72   122.0
73   122.0;

param d :=
0   63.0
1   75.0
2   90.0
3   110.0
4   125.0
5   140.0
6   160.0
7   180.0
8   200.0
9   250.0
10   280.0
11   315.0;

param C :=
0   116.0
1   172.0
2   231.0
3   340.0
4   461.0
5   576.0
6   750.0
7   945.0
8   1113.0
9   1762.0
10   2210.0
11   2794.0;

param R :=
0   140.0
1   140.0
2   140.0
3   140.0
4   140.0
5   140.0
6   140.0
7   140.0
8   140.0
9   140.0
10   140.0
11   140.0;

set Source := 1;
