#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE SHAMIR NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure
set NODE:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 ;
set DIAMSET := 1 2 3 4 5 6 7 8 9 10 11 12 ;
         
param: NODE:     elev          demand            pmin  :=


#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:                    length    dKc   :=
 2     40  7.192	140
 3     115 96.33	140
 4     1   14.75	140
 5     85  13.81	140
 6     55  14.5	140
 7     1   14.64	140
 8     11  40.79	140
 9     151 99.75	140
10     54  19.63	140
11     26  35.84	140
12     100 37.52	140
13     49  66.9	140
14     112 5.839	140
15     150 69.57	140
16     95  44.49	140
17 10   14.53	140
18 111  52.21	140
19 78   32.68	140
20 113  21.98	140
21 5   3.25	140
22 54   23.67	140
23 56   6.297	140
24 22   9.915	140
25 91   55.98	140
26 22   20.04	140
27 107  73.07	140
28 20   34.19	140
29 75   128.1	140
30 98   3.775	140
31 53   22.58	140
32 142  18.54	140
33 122  18.42	140
34 52   8.933	140
35 93   9.353	140
36 100  71.82	140
37 105  62.12	140
38 16   38.72	140
39 16   35.94	140
40 34   9.605	140
41 79   23.71	140
42 94   18.26	140
43 79   6.962	140
44 134  21.69	140
45 7   0.84	140
46 109  92.18	140
47 63   38.87	140
48 44   78.41	140
49 140  68.49	140
50 129  154.9	140
51 37   53.33	140
52 14   7.352	140
53 85   22.25	140
54 42   11.89	140
55 102  18.12	140
56 86   4.875	140
57 127  77.07	140
58 21   14.29	140
59 108  15.45	140
60 103  67.55	140
61 106  34.06	140
62 128  227	140
63 76   40.98	140
64 42   15.96	140
65 45   8.384	140
66 102  30.36	140
67 80   76.16	140
68 12   51.09	140
69 31   8.677	140
70 58   17.51	140
71 155  78.4	140
72 91   18.14	140
73 24   9.771	140
74 134  44.62	140
75 13   37.17	140
76 36   16.63	140
77 37   33.76	140
78 18   63.89	140
79 112  14.16	140
80 8   1.26	140
81 47   38.75	140
82 89   120.1	140
83 145  16.71	140
84 4   .141	140
85 40   24.58	140
86 4   .434	140
87 98   23.61	140
88 149  162.4	140
89 27   98.01	140
90 110   20.13	140
91 118   29.61	140
92 108  43.89	140
93 43  15.76	140
94 136  9.274	140
95 69  6.097	140
96 114  41.31	140
97 55  20.04	140
98 33  18.06	140
99 64  36.88	140
100 13  58.53	140
101 11    22.72	140
102 28    24.29	140
103 133    100.6	140
104 99    12.24	140
105 70    53.2	140
106 48    98.2	140
107 77    19.63	140
108 25    32.2	140
109 103    26.63	140
110 146    28.51	140
111 66    27.58	140
112 23    7.747	140
113 30    29.89	140
114 73    17.53	140
115 106    15.27	140
116 63    37.68	140
117 59    92.55	140
118 90    29.45	140
119 86    12.62	140
120 143    62.86	140
121 6    50.12	140
122 7    5.171	140
123 147    131	140
124 130    24.33	140
125 109    165.9	140
126 3    79.54	140
127 120    48.44	140
128 3    73.12	140
129 71    108	140
130 82    51.17	140
131 125    77.82	140
132 117    44.62	140
133 19    45.02	140
134 32    33.65	140
135 154    179.3	140
136 41    8.35	140
137 8    39.13	140
138 62    341.9	140
139 152    172.2	140
140 121    6.303	140
141 83    154.8	140
142 13    9.073	140
143 124    98.98	140
144 148    359.2	140
145 80    36.28	140
146 35    6.822	140
147 19    158.4	140
148 126    83.53	140
149 9    99.95	140
150 57    14.02	140
151 154    149.8	140
152 149    165.1	140
153 135    131.8	140
154 141    103.5	140
155 29    125.8	140
50  123    212.6	140
1   65    30.19	140
82  27    213.7	140
52  2    21.78	140
88    154    461.3	140
141    145    164.8	140
58    5    36.41	140
72    25    63.73	140
2    86    23.97	140
82    51    237.3	140
39    121    84.04	140
103    19    136.2	140
111    102    57.03	140
116    76    65.73	140
59    25    47.65	140
58    146    52.28	140
153    109    275.6	140
26    54    42.59	140
122    84    32.71	140
144    126    423.1	140
9    81    253.1	140
116    117    122.5	140
15    132    147.3	140
18    20    77.3	140
20    7    51.99	140
9    141    267.9	140
65    40    33.01	140
123 125    242	140
146 21   39.57	140
99  136   59.42	140
124 51   278.5	140
57   132   216.3	140
64   136   25.99	140
70   38  63.5	140
44   49  91.69	140
148  27  270.9	140
79  23   20.08	140
3  106   110.9	140
112  52   10.77	140
129  123  307.7	140
135  67  363.8	140
75 32 52.79	140
24 10 37.37	140
80 12 78.08	140
90 41 51.03	140
34 5  29.28 140;

param dmin := 0.0254;
param dmax := 0.6096;
set source:= 1 ;

param: DIAMSET:  discdiam             disccost :=
       1            0.0254                2
       2            0.0508                5
       3            0.0762                8
       4            0.1016               11
       5            0.1524               16
       6            0.2032               23
       7            0.2540               32
       8            0.3048               50
       9            0.3556               60
      10            0.4064               90
      11            0.4572              130
      12            0.5080              170
      13            0.5588              300
      14            0.6096              550 ; 

     

