set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 ;

param : arcs : L   vmax  dKc  exdiam  :=
1    2    3535.69   4    100	4.572 
2    3    6035.06   4	 100	4.572 
3    4    2225.05   4	 100	4.572 
4    5    2529.85   4	 100	4.572 
5    6    2621.29   4	 100	4.572 
6    7	  5821.70   4	 100	4.572 
7    8    2926.09   4	 100	3.353 
8    9    3810.01   4	 100	3.353
9    10   2926.09   4	 100	4.572	
11   9    3413.77   4	 100	5.182    	
12   11   4419.61   4	 100	5.182		 
13   12   3718.57   4	 100	5.182		 
14   13   7345.70   4	 100	5.182	 	
15   14   6431.30   4	 100	5.182	 	
1    15   4724.42   4	 100	5.182	 	
10   17   8046.75   4	 100	1.829 	
12   18   9509.79   4	 100	1.829	
18   19   7315.22   4	 100	1.524	
11   20   4389.13   4	 100	1.524	
20   16   11704.36  4	 100	1.524	
9    16   8046.75   4	 100	1.829;  

param d :=
1         1219.2048                  	       
2         1524.0060                   	      
3	  1828.8072
4	  2133.6084		    	   	
5	  2438.4096	      	 	
6	  2743.2108	       	
7	  3048.0120				       	
8	  3352.8132				       
9	  3657.6144				       	
10	  3962.4156				       	
11 	  4267.2168				       	
12        4572.0180;

param E :=
1         91.44
2         0.00
3         0.00
4         0.00
5         0.00
6         0.00
7         0.00
8         0.00
9         0.00
10        0.00
11        0.00
12        0.00
13        0.00
14        0.00
15        0.00
16        0.00
17        0.00
18        0.00
19        0.00
20        0.00 ;

param P :=
1     0
2     77.72
3     77.72    
4     77.72    
5     77.72    
6     77.72    
7     77.72    
8     77.72    
9     77.72    
10    77.72    
11    77.72    
12    77.72    
13    77.72    
14    77.72    
15    77.72    
16    79.25    
17    83.15    
18    77.72    
19    77.72    
20    77.72 ;   

param D :=
1     -57129.2449
2     2616.47694
3     2616.47694    
4     2497.54617    
5     2497.54617    
6     2497.54617    
7     2497.54617    
8     2497.54617    
9     4813.86450    
10    0028.31685    
11    4813.86450    
12    3315.90314    
13    3315.90314    
14    2616.47694    
15    2616.47694    
16    4813.86450    
17    1628.21888    
18    3315.90314    
19    3315.90314    
20    4813.86450;

param C :=
 1  439.63
 2  577.43
 3  725.06
 4  879.26 
 5  1036.74 
 6  1197.50 
 7  1364.825 
 8  1538.709 
 9  1712.59 
10  1893.04  
11  2073.48  
12  2260.49 ;

param R :=
1   100
2   100
3   100
4   100
5   100
6   100
7   100
8   100
9   100
10  100
11  100
12  100 ;

set Source:= 1 ;
