set nodes := 1 2 3 4 6 7 8 9 10 11;

set pipes := 0 1 2 3 4 5 6 7 8 9 10 11 12;

param : arcs : L :=
4    6    318.0
3    7    7345.0
2    6    3491.0
2    4    2442.0
9    3    1943.0
8    9    2686.0
10    2    4808.0
3    10    924.0
11    1    4266.0
4    11    485.0;

param E :=
1   442.0
2   477.0
3   496.0
4   464.0
6   390.0
7   493.0
8   530.0
9   517.0
10   509.0
11   472.0;

param P :=
1   7.0
2   7.0
3   7.0
4   7.0
6   7.0
7   7.0
8   0.0
9   7.0
10   7.0
11   7.0;

param D :=
1   0.0042
2   0.0016
3   0.0068
4   0.0035
6   0.0036
7   0.0052
8   -0.0249
9   0.0
10   0.0
11   0.0;

param d :=
0   0.063
1   0.075
2   0.090
3   0.110
4   0.125
5   0.140
6   0.160
7   0.180
8   0.200
9   0.225
10   0.250
11   0.280
12   0.315;


param C :=
0   116.0
1   172.0
2   231.0
3   340.0
4   461.0
5   576.0
6   750.0
7   945.0
8   1113.0
9   1430.0
10   1762.0
11   2210.0
12   2794.0;

param R :=
0   140.0
1   140.0
2   140.0
3   140.0
4   140.0
5   140.0
6   140.0
7   140.0
8   140.0
9   140.0
10   140.0
11   140.0
12   140.0;

set Source := 8;
