set nodes := 20 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 ;
param : arcs : L :=
2    1    150
7    6    150
8    7    150
9    8    150
10    9    350
6    11    160
7    12    160
8    13    160
9    14    160
20    10    400
12    11    150
3    2    150
13    12    150
14    13    150
11    15    150
11    16    200
12    17    200
13    18    200
14    19    200
15    16    200
17    16    150
18    17    150
4    3    150
19    18    150
19    20    550
4    5    350
1    6    200
7    2    200
8    3    200
9    4    200
10    5    200 ;

param d :=
1   0.1
2   0.15
3   0.2
4   0.25
5   0.3
6   0.35
7   0.4
8   0.45
9   0.5
10   0.6
11   0.7
12   0.8
13   0.9 ;


param E :=
20   113
1   75
2   75
3   75.5
4   76
5   76
6   71
7   72
8   74
9   75
10   76
11   68
12   69
13   71
14   73
15   63
16   64
17   67
18   69
19   71 ;

param P :=
20   0
1   15
2   15
3   15
4   15
5   15
6   15
7   15
8   15
9   15
10   15
11   15
12   15
13   15
14   15
15   15
16   15
17   15
18   15
19   15 ;

param D :=
20   -0.4629624
1   0.0231481
2   0.0231481
3   0.0231481
4   0.0231481
5   0.0231481
6   0.0115741
7   0.0231481
8   0.0231481
9   0.0347222
10   0.0347222
11   0.0115741
12   0.0231481
13   0.0347222
14   0.0347222
15   0.0231481
16   0.0115741
17   0.0231481
18   0.0231481
19   0.0347222 ;


param C :=
1   860
2   1160
3   1470
4   1700
5   2080
6   2640
7   3240
8   3810
9   4400
10   5580
11   8360
12   10400
13   12800 ;

param R :=
1   100
2   100
3   100
4   100
5   100
6   100
7   100
8   100
9   100
10   100
11   100
12   100
13   100 ;

set Source:= 20 ;
