set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ;
set pipes := 1 2 3 4 5 6 ;

param : arcs : L    vmax :=
1    2        100         	7.0 
2    3        1350      	7.0 
3    4        900      	3.0
4    5        1150      	2.0 
5    6        1450      	2.5 
6    7        450      	2.5
7    8        850      	2.0
8    9        850      	1.0 
9    10       800      	2.0
10    11      950     	2.0
11    12      1200      	2.0 
12    13      3500      	2.0 
10    14      800      	2.0 
14    15      500      	2.0 
15    16      550       	2.0
17    16      2730    	2.0 
18    17      1750      	2.0 
19    18      800      	3.5 
3    19       400      	3.5 
3    20       2200      	3.0 
20    21      1500      	2.0 
21    22      500       	2.0
20    23      2650     	2.0 
23    24      1230      	3.0 
24    25      1300      	2.0 
26    25      850      	2.0
27    26      300      	2.0
16    27      750      	2.0
23    28      1500      	2.0 
28    29      2000     	2.0 
29    30      1600       	2.0 
30    31      150      	2.0
32    31      860      	2.0
25    32      950      	2.0
;
param d :=
1   12.00
2   16.00
3   20.00
4   24.00
5   30.00
6   4.00 ;

#param d :=
#1   0.3048
#2   0.4064
#3   0.508
#4   0.6096
#5   0.762
#6   0.1016 ;

param E :=
1   100
2   0
3   0
4   0
5   0
6   0
7   0
8   0
9   0
10   0
11   0
12   0
13   0
14   0
15   0
16   0
17   0
18   0
19   0
20   0
21   0
22   0
23   0
24   0
25   0
26   0
27   0
28   0
29   0
30   0
31   0
32   0 ;

param P :=
1   0
2   30
3   30
4   30
5   30
6   30
7   30
8   30
9   30
10   30
11   30
12   30
13   30
14   30
15   30
16   30
17   30
18   30
19   30
20   30
21   30
22   30
23   30
24   30
25   30
26   30
27   30
28   30
29   30
30   30
31   30
32   30 ;

param D :=
1   -5.5388658000000005
2   0.247222
3   0.236111
4   0.036111
5   0.201388
6   0.2791666
7   0.375
8   0.152778
9   0.145833
10   0.145833
11   0.13888
12   0.15555
13   0.26111
14   0.170833
15   0.077777
16   0.086111
17   0.240277
18   0.373611
19   0.016666
20   0.3541666
21   0.258333
22   0.1347222
23   0.2902777
24   0.227777
25   0.047222
26   0.250
27   0.102777
28   0.080555
29   0.100
30   0.100
31   0.0291666
32   0.2236111 ;



param C :=
1   45.72617132
2   70.4
3   98.387
4   129.33
5   180.748
6   278.28 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130 ;



set Source:= 1 ;
